optimizer_update,total,loss_ce,loss_mask,loss_dice,loss_region,loss_consistency,mean_micro_loss,gradient_norm_before_clip,optimizer_group_0_gradient_norm,all_gradients_finite
29,26.56351661682129,0.022933708503842354,0.048329904675483704,0.6576306223869324,-0.0,-0.0,26.952990531921387,146.6679229736328,1.0000000909735676,True
30,26.470735549926758,0.020754557102918625,0.047769639641046524,0.6387410759925842,-0.0,-0.0,26.784406661987305,78.02134704589844,1.0000000480748656,True
31,26.563173294067383,0.0206892229616642,0.04887516424059868,0.63984614610672,-0.0,-0.0,26.598563194274902,40.32994842529297,1.0000000190063927,True
32,27.126697540283203,0.019671589136123657,0.0478186197578907,0.6482657194137573,-0.0,-0.0,26.912663459777832,33.74678039550781,0.9999999496735642,True
33,26.190231323242188,0.01370897889137268,0.049423303455114365,0.645697295665741,-0.0,-0.0,26.340679168701172,287.4766845703125,0.9999999940263535,True
34,26.0234317779541,0.012540426105260849,0.04755246266722679,0.6421100497245789,-0.0,-0.0,25.925673484802246,29.364078521728516,0.9999999834446952,True
35,25.82084083557129,0.012441519647836685,0.04605958238244057,0.6416873335838318,-0.0,-0.0,25.960545539855957,27.236080169677734,0.9999999231347344,True
36,26.107349395751953,0.010080871172249317,0.045581597834825516,0.6436170935630798,-0.0,-0.0,25.985599517822266,40.580963134765625,0.9999999551196187,True
37,26.11341667175293,0.010902196168899536,0.04633861407637596,0.644575297832489,-0.0,-0.0,26.022608757019043,28.47873306274414,0.9999998976782029,True
38,25.78209686279297,0.011745481751859188,0.04465226083993912,0.6451794505119324,-0.0,-0.0,25.686742782592773,126.8667984008789,0.9999999713076018,True
39,25.86149024963379,0.009536860510706902,0.045782871544361115,0.6429256796836853,-0.0,-0.0,25.63839626312256,25.20558738708496,0.9999999162441746,True
40,25.368350982666016,0.010344382375478745,0.044251926243305206,0.6448778510093689,-0.0,-0.0,25.34336566925049,40.20534896850586,1.000000017972695,True
41,25.27576446533203,0.009687608107924461,0.04470912367105484,0.6485094428062439,-0.0,-0.0,25.234811782836914,24.659076690673828,0.9999999014917145,True
42,25.46290397644043,0.009526972658932209,0.044126614928245544,0.6408318877220154,-0.0,-0.0,25.420506477355957,23.011751174926758,0.9999999667693368,True
43,25.062240600585938,0.008535279892385006,0.044366128742694855,0.6418649554252625,-0.0,-0.0,25.110393524169922,21.865774154663086,0.9999999592446321,True
44,24.951950073242188,0.010553446598351002,0.04235619306564331,0.640670657157898,-0.0,-0.0,24.9913330078125,23.168855667114258,0.9999998664978786,True
45,25.004558563232422,0.009301537647843361,0.04370918497443199,0.6405922770500183,-0.0,-0.0,24.937910079956055,26.715452194213867,0.9999999866363395,True
46,24.974592208862305,0.00932223629206419,0.041424524039030075,0.6377121210098267,-0.0,-0.0,25.023239135742188,39.31231689453125,0.9999999184963111,True
47,25.248098373413086,0.008385106921195984,0.04203740134835243,0.6382766962051392,-0.0,-0.0,25.040895462036133,259.2378234863281,1.000000015467055,True
48,24.782943725585938,0.008574405685067177,0.04201614484190941,0.6380999684333801,-0.0,-0.0,24.767308235168457,17.641225814819336,0.9999998957850894,True
49,24.740463256835938,0.008311846293509007,0.04143538698554039,0.6377941370010376,-0.0,-0.0,24.990559577941895,74.3735122680664,1.0000000007595418,True
50,24.942611694335938,0.007970296777784824,0.04222918674349785,0.6342344284057617,-0.0,-0.0,24.837307929992676,17.534225463867188,0.9999998126217913,True
51,24.740936279296875,0.015411541797220707,0.04160262644290924,0.6401270031929016,-0.0,-0.0,24.75593376159668,28.518795013427734,0.9999999581211787,True
52,24.77819061279297,0.007835647091269493,0.043042708188295364,0.6417576670646667,-0.0,-0.0,24.68893814086914,33.453468322753906,0.9999999553714919,True
53,24.619251251220703,0.008707950823009014,0.039817653596401215,0.6346086859703064,-0.0,-0.0,24.588807106018066,14.838739395141602,0.9999999100015162,True
54,24.625450134277344,0.00766478618606925,0.04099470004439354,0.6382210850715637,-0.0,-0.0,24.52565288543701,16.146608352661133,0.999999870457478,True
55,24.58066749572754,0.008498967625200748,0.041171733289957047,0.634917140007019,-0.0,-0.0,24.630151748657227,16.68099594116211,0.999999838036602,True
56,24.479877471923828,0.008765979669988155,0.04082474857568741,0.6357467174530029,-0.0,-0.0,24.502323150634766,15.77381420135498,0.9999999018261244,True
57,24.53135871887207,0.006928534246981144,0.04145893454551697,0.6356196403503418,-0.0,-0.0,24.519875526428223,13.782451629638672,0.9999999262301998,True
58,24.4360294342041,0.007604910526424646,0.03848130628466606,0.6323851346969604,-0.0,-0.0,24.439398765563965,12.676369667053223,0.9999999621981026,True
59,24.35533905029297,0.007303868420422077,0.040701691061258316,0.6313480734825134,-0.0,-0.0,24.470197677612305,29.658893585205078,0.9999999859830949,True
60,24.286022186279297,0.008507433347404003,0.038921065628528595,0.6332377791404724,-0.0,-0.0,24.319478034973145,13.88280963897705,0.9999998610999131,True
61,24.290721893310547,0.006918616127222776,0.0387209914624691,0.6312850117683411,-0.0,-0.0,24.321144104003906,17.474411010742188,0.9999998350917714,True
62,24.274629592895508,0.00790187157690525,0.03910879045724869,0.6314231157302856,-0.0,-0.0,24.26914882659912,13.219921112060547,0.9999999585631931,True
63,24.17820167541504,0.006480145268142223,0.03947152942419052,0.6279978156089783,-0.0,-0.0,24.214734077453613,14.427949905395508,0.9999999178171459,True
64,24.48623275756836,0.005991200916469097,0.038328301161527634,0.6274930238723755,-0.0,-0.0,24.366787910461426,407.283447265625,1.0000000323389595,True
65,24.198394775390625,0.006726064253598452,0.03787216171622276,0.6322769522666931,-0.0,-0.0,24.374650955200195,814.4202270507812,1.000000025957577,True
66,24.07747459411621,0.007152228150516748,0.036590058356523514,0.626308023929596,-0.0,-0.0,24.100360870361328,9.480289459228516,0.9999998725621627,True
